# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
11400100 5.29515 4
11400200 5.58692 4
11400300 5.68853 4
11400400 5.70056 4
11400500 5.51343 4
11400600 5.41325 4
11400700 5.45364 4
11400800 5.42505 4
11400900 5.4953 4
11401000 5.6551 4
11401100 5.81452 4
11401200 5.47094 4
11401300 5.43724 4
11401400 5.60646 4
11401500 5.52847 4
11401600 5.69646 4
11401700 5.72906 4
11401800 5.57172 4
11401900 5.21676 4
11402000 5.26905 4
11402100 5.58716 4
11402200 5.73728 4
11402300 5.63651 4
11402400 5.55725 4
11402500 5.498 4
11402600 5.40679 4
11402700 5.24499 4
11402800 5.41662 4
11402900 5.62834 4
11403000 5.6418 4
11403100 5.39294 4
11403200 5.23063 4
11403300 5.29669 4
11403400 5.43089 4
11403500 5.55589 4
11403600 5.87062 4
11403700 5.78413 4
11403800 5.5555 4
11403900 5.44067 4
11404000 5.63215 4
11404100 5.55634 4
11404200 5.41684 4
11404300 5.3675 4
11404400 5.52065 4
11404500 5.4127 4
11404600 5.40712 4
11404700 5.63895 4
11404800 5.8307 4
11404900 5.86276 4
11405000 5.65743 4
11405100 5.47779 4
11405200 5.49866 4
11405300 5.80523 4
11405400 5.8025 4
11405500 5.46057 4
11405600 5.41676 4
11405700 5.37582 4
11405800 5.5133 4
11405900 5.70506 4
11406000 6.01952 4
11406100 6.13146 4
11406200 5.91951 4
11406300 5.75645 4
11406400 5.7742 4
11406500 5.73164 4
11406600 5.63531 4
11406700 5.81155 4
11406800 5.68008 4
11406900 5.40974 4
11407000 5.56898 4
11407100 5.95775 4
11407200 5.79042 4
11407300 5.50975 4
11407400 5.42148 4
11407500 5.68138 4
11407600 5.84518 4
11407700 5.50085 4
11407800 5.49487 4
11407900 5.51315 4
11408000 5.51712 4
11408100 5.63642 4
11408200 5.73861 4
11408300 5.69926 4
11408400 5.48387 4
11408500 5.39742 4
11408600 5.1513 4
11408700 5.34394 4
11408800 5.526 4
11408900 5.50825 4
11409000 5.72356 4
11409100 5.69481 4
11409200 5.57491 4
11409300 5.59388 4
11409400 5.73141 4
11409500 5.50202 4
11409600 5.39405 4
11409700 5.48157 4
11409800 5.50151 4
11409900 5.59466 4
11410000 5.40838 4
11410100 5.3643 4
11410200 5.47674 4
11410300 5.34518 4
11410400 5.20925 4
11410500 5.39253 4
11410600 5.36973 4
11410700 5.64306 4
11410800 5.51653 4
11410900 5.28273 4
11411000 5.75213 4
11411100 5.81222 4
11411200 5.93679 4
11411300 5.71205 4
11411400 5.51218 4
11411500 5.62501 4
11411600 5.59577 4
11411700 5.65765 4
11411800 5.71344 4
11411900 5.87179 4
11412000 5.72449 4
11412100 5.41207 4
11412200 5.73509 4
11412300 5.84708 4
11412400 5.53231 4
11412500 5.54213 4
11412600 5.46157 4
11412700 5.38494 4
11412800 5.62326 4
11412900 5.91699 4
11413000 5.68257 4
11413100 5.36136 4
11413200 5.63352 4
11413300 5.51889 4
11413400 5.32011 4
11413500 5.39496 4
11413600 5.77132 4
11413700 5.90053 4
11413800 5.71913 4
11413900 5.57323 4
11414000 5.57321 4
11414100 5.44109 4
11414200 5.43135 4
11414300 5.29992 4
11414400 5.57222 4
11414500 5.73142 4
11414600 5.77796 4
11414700 5.82687 4
11414800 5.32838 4
11414900 5.36335 4
11415000 5.34738 4
11415100 5.48853 4
11415200 5.48325 4
11415300 5.20796 4
11415400 5.33372 4
11415500 5.43921 4
11415600 5.6346 4
11415700 5.52765 4
11415800 5.4164 4
11415900 5.3262 4
11416000 5.77191 4
11416100 5.88534 4
11416200 5.47294 4
11416300 5.40175 4
11416400 5.48654 4
11416500 5.43601 4
11416600 5.30392 4
11416700 5.30127 4
11416800 5.51769 4
11416900 5.61493 4
11417000 5.60755 4
11417100 5.84385 4
11417200 6.10103 4
11417300 6.09045 4
11417400 5.7417 4
11417500 5.56954 4
11417600 5.66021 4
11417700 5.6671 4
11417800 5.59502 4
11417900 5.41755 4
11418000 5.54412 4
11418100 5.44905 4
11418200 5.5388 4
11418300 5.47018 4
11418400 5.44234 4
11418500 5.37636 4
11418600 5.61326 4
11418700 5.69923 4
11418800 5.68881 4
11418900 5.31593 4
11419000 5.36818 4
11419100 5.5728 4
11419200 5.46995 4
11419300 5.41374 4
11419400 5.52764 4
11419500 5.80895 4
11419600 5.7437 4
11419700 5.43329 4
11419800 5.35261 4
11419900 5.33763 4
11420000 5.22342 4
11420100 5.09192 4
11420200 5.13357 4
11420300 5.25499 4
11420400 5.23129 4
11420500 5.72156 4
11420600 5.87949 4
11420700 5.6481 4
11420800 5.51451 4
11420900 5.58543 4
11421000 5.89781 4
11421100 5.82916 4
11421200 5.48522 4
11421300 5.50672 4
11421400 5.57685 4
11421500 5.78102 4
11421600 5.71166 4
11421700 5.21594 4
11421800 5.46687 4
11421900 5.50634 4
11422000 5.5283 4
11422100 5.77513 4
11422200 5.6086 4
11422300 5.58079 4
11422400 5.60665 4
11422500 5.47114 4
11422600 5.62694 4
11422700 5.44646 4
11422800 5.4022 4
11422900 5.43267 4
11423000 5.56966 4
11423100 5.77876 4
11423200 5.87765 4
11423300 5.44207 4
11423400 5.25919 4
11423500 5.31583 4
11423600 5.26992 4
11423700 5.40794 4
11423800 5.7304 4
11423900 5.34945 4
11424000 5.33107 4
11424100 5.39007 4
11424200 5.5676 4
11424300 5.48848 4
11424400 5.52858 4
11424500 5.53387 4
11424600 5.76506 4
11424700 5.58166 4
11424800 5.33909 4
11424900 5.39071 4
