# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
10600100 2.31607 2
10600200 1.94035 2
10600300 2.01875 2
10600400 2.25825 2
10600500 2.19993 2
10600600 2.03949 2
10600700 1.90937 2
10600800 2.02791 2
10600900 2.05082 2
10601000 2.16286 2
10601100 2.35128 2
10601200 2.29211 2
10601300 2.15418 2
10601400 1.86395 2
10601500 2.07029 2
10601600 2.08595 2
10601700 2.38169 2
10601800 2.50782 2
10601900 2.29866 2
10602000 2.11864 2
10602100 2.01971 2
10602200 2.0773 2
10602300 2.31817 2
10602400 2.24255 2
10602500 2.07038 2
10602600 2.03009 2
10602700 2.2147 2
10602800 2.19752 2
10602900 2.08107 2
10603000 2.158 2
10603100 2.22266 2
10603200 1.76748 2
10603300 1.37619 2
10603400 1.56932 2
10603500 1.83224 2
10603600 1.54438 2
10603700 1.53713 2
10603800 1.52654 2
10603900 1.58671 2
10604000 1.47223 2
10604100 1.44905 2
10604200 1.46632 2
10604300 1.5925 2
10604400 1.7552 2
10604500 1.90983 2
10604600 2.16758 2
10604700 2.0916 2
10604800 2.16874 2
10604900 2.41063 2
10605000 2.42968 2
10605100 2.4983 2
10605200 2.41452 2
10605300 2.21435 2
10605400 1.70576 2
10605500 1.46316 2
10605600 1.7498 2
10605700 2.08019 2
10605800 2.33154 2
10605900 2.25933 2
10606000 2.13049 2
10606100 1.9011 2
10606200 1.90426 2
10606300 1.87345 2
10606400 1.57587 2
10606500 1.36244 2
10606600 1.37074 2
10606700 1.4112 2
10606800 1.62356 2
10606900 2.0214 2
10607000 2.18204 2
10607100 2.20781 2
10607200 2.34242 2
10607300 2.36353 2
10607400 2.1218 2
10607500 2.35166 2
10607600 2.60055 2
10607700 2.43119 2
10607800 2.40657 2
10607900 2.47912 2
10608000 2.59147 2
10608100 2.76598 2
10608200 2.42759 2
10608300 2.44271 2
10608400 2.29732 2
10608500 2.14396 2
10608600 1.92388 2
10608700 1.86264 2
10608800 1.76599 2
10608900 1.62571 2
10609000 1.7417 2
10609100 1.97346 2
10609200 2.23119 2
10609300 2.44553 2
10609400 1.99048 2
10609500 1.5341 2
10609600 1.46066 2
10609700 1.69532 2
10609800 1.87916 2
10609900 2.13995 2
10610000 2.20449 2
10610100 1.92453 2
10610200 1.91145 2
10610300 1.9671 2
10610400 2.02441 2
10610500 1.80384 2
10610600 1.73983 2
10610700 1.73094 2
10610800 1.95221 2
10610900 2.19544 2
10611000 2.52417 2
10611100 2.59233 2
10611200 2.3271 2
10611300 2.05918 2
10611400 2.18058 2
10611500 1.86073 2
10611600 1.51967 2
10611700 1.46853 2
10611800 1.51901 2
10611900 1.5103 2
10612000 1.52838 2
10612100 1.57312 2
10612200 1.62592 2
10612300 1.49435 2
10612400 1.27699 2
10612500 1.25194 2
10612600 1.34829 2
10612700 1.49731 2
10612800 1.82316 2
10612900 2.04936 2
10613000 2.25478 2
10613100 2.3678 2
10613200 2.42314 2
10613300 2.37421 2
10613400 2.28467 2
10613500 1.97644 2
10613600 1.96742 2
10613700 2.01552 2
10613800 2.234 2
10613900 2.30579 2
10614000 2.35618 2
10614100 2.56992 2
10614200 2.44089 2
10614300 2.64832 2
10614400 2.28922 2
10614500 1.75579 2
10614600 1.59905 2
10614700 1.60387 2
10614800 1.95578 2
10614900 2.45045 2
10615000 2.49911 2
10615100 2.51616 2
10615200 2.65159 2
10615300 2.66556 2
10615400 2.68328 2
10615500 2.53752 2
10615600 2.34682 2
10615700 2.30755 2
10615800 2.09242 2
10615900 1.92525 2
10616000 1.73067 2
10616100 1.80049 2
10616200 1.77708 2
10616300 1.75873 2
10616400 1.66133 2
10616500 1.50555 2
10616600 1.54874 2
10616700 1.41569 2
10616800 1.00859 2
10616900 1.04282 2
10617000 1.55744 2
10617100 1.8944 2
10617200 2.07998 2
10617300 1.9855 2
10617400 2.27045 2
10617500 2.26417 2
10617600 2.36484 2
10617700 2.53172 2
10617800 2.48231 2
10617900 2.44527 2
10618000 2.82278 2
10618100 3.16437 2
10618200 2.73205 2
10618300 2.38496 2
10618400 2.21942 2
10618500 1.74428 2
10618600 1.6258 2
10618700 1.62157 2
10618800 1.88313 2
10618900 2.29881 2
10619000 2.7618 2
10619100 2.84194 2
10619200 2.63492 2
10619300 2.05731 2
10619400 2.0873 2
10619500 2.25151 2
10619600 2.01638 2
10619700 2.05052 2
10619800 1.92981 2
10619900 1.72068 2
10620000 1.43548 2
10620100 1.44376 2
10620200 1.18176 2
10620300 1.13401 2
10620400 1.34987 2
10620500 1.38438 2
10620600 1.14376 2
10620700 1.20048 2
10620800 1.51185 2
10620900 1.56688 2
10621000 1.70886 2
10621100 1.69852 2
10621200 1.76094 2
10621300 1.66295 2
10621400 1.87735 2
10621500 2.44517 2
10621600 2.48389 2
10621700 2.40763 2
10621800 2.33088 2
10621900 2.10609 2
10622000 2.08713 2
10622100 2.44065 2
10622200 2.80323 2
10622300 3.15342 2
10622400 2.87723 2
10622500 2.42191 2
10622600 2.35254 2
10622700 2.21071 2
10622800 2.38232 2
10622900 2.3381 2
10623000 2.40281 2
10623100 2.41476 2
10623200 2.01181 2
10623300 1.63957 2
10623400 1.75074 2
10623500 1.94134 2
10623600 2.30419 2
10623700 2.62977 2
10623800 2.62845 2
10623900 2.39363 2
10624000 2.34051 2
10624100 2.05907 2
10624200 2.16339 2
10624300 2.5105 2
10624400 2.57617 2
10624500 2.35832 2
10624600 2.07317 2
10624700 2.12446 2
10624800 2.29487 2
10624900 2.08537 2
10625000 2.16092 2
10625100 2.36296 2
10625200 2.23561 2
10625300 2.45328 2
10625400 2.79618 2
10625500 2.34207 2
10625600 2.35943 2
10625700 2.45175 2
10625800 2.29826 2
10625900 2.11553 2
10626000 2.06535 2
10626100 1.62206 2
10626200 1.49185 2
10626300 1.59493 2
10626400 1.76192 2
10626500 1.64195 2
10626600 1.896 2
10626700 1.858 2
10626800 1.90494 2
10626900 2.08744 2
10627000 2.00142 2
10627100 1.94691 2
10627200 2.25131 2
10627300 2.69684 2
10627400 2.98381 2
10627500 2.74745 2
10627600 2.20438 2
10627700 1.82733 2
10627800 1.54803 2
10627900 1.80804 2
10628000 1.87878 2
10628100 1.64865 2
10628200 2.03999 2
10628300 2.26046 2
10628400 2.16113 2
10628500 2.11953 2
10628600 2.47293 2
10628700 2.73191 2
10628800 2.79285 2
10628900 2.70028 2
10629000 2.6724 2
