# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
13400100 8.86043 9
13400200 8.94536 9
13400300 8.99415 9
13400400 8.93937 9
13400500 8.99888 9
13400600 8.67839 9
13400700 8.50276 9
13400800 8.63941 9
13400900 8.64013 9
13401000 8.5447 9
13401100 9.04233 9
13401200 9.51147 9
13401300 9.94492 9
13401400 9.77459 9
13401500 9.78733 9
13401600 10.03 9
13401700 9.84695 9
13401800 9.24473 9
13401900 8.87725 9
13402000 9.03621 9
13402100 9.29648 9
13402200 9.17522 9
13402300 9.1051 9
13402400 9.15422 9
13402500 9.1491 9
13402600 9.35287 9
13402700 9.05517 9
13402800 8.72574 9
13402900 9.04107 9
13403000 9.17652 9
13403100 9.18342 9
13403200 9.1478 9
13403300 9.22476 9
13403400 9.0542 9
13403500 8.78513 9
13403600 8.78376 9
13403700 8.68863 9
13403800 8.70581 9
13403900 8.98749 9
13404000 9.22928 9
13404100 9.42391 9
13404200 9.10433 9
13404300 9.07353 9
13404400 8.99718 9
13404500 8.8727 9
13404600 8.89799 9
13404700 8.69364 9
13404800 8.76812 9
13404900 8.91854 9
13405000 9.01364 9
13405100 9.00494 9
13405200 9.16224 9
13405300 9.05955 9
13405400 9.05966 9
13405500 9.18646 9
13405600 9.54973 9
13405700 9.37403 9
13405800 9.07799 9
13405900 9.11653 9
13406000 9.29742 9
13406100 9.5325 9
13406200 9.38403 9
13406300 9.11346 9
13406400 8.94136 9
13406500 9.08994 9
13406600 9.05996 9
13406700 9.08377 9
13406800 9.01041 9
13406900 8.81805 9
13407000 8.45633 9
13407100 8.79617 9
13407200 9.23599 9
13407300 9.39214 9
13407400 9.65073 9
13407500 9.75287 9
13407600 9.49667 9
13407700 9.27519 9
13407800 9.397 9
13407900 9.33554 9
13408000 9.49175 9
13408100 9.56584 9
13408200 9.69665 9
13408300 9.67644 9
13408400 9.66559 9
13408500 9.72878 9
13408600 9.62252 9
13408700 9.38155 9
13408800 9.1788 9
13408900 9.26531 9
13409000 9.15388 9
13409100 8.93539 9
13409200 8.9332 9
13409300 8.91648 9
13409400 9.06597 9
13409500 8.93735 9
13409600 8.89169 9
13409700 8.95776 9
13409800 9.20779 9
13409900 9.27861 9
13410000 8.86132 9
13410100 8.64053 9
13410200 8.84588 9
13410300 9.04765 9
13410400 9.09859 9
13410500 8.84796 9
13410600 8.70031 9
13410700 8.49435 9
13410800 8.56679 9
13410900 8.89047 9
13411000 9.01136 9
13411100 8.88087 9
13411200 8.92353 9
13411300 9.0549 9
13411400 9.06302 9
13411500 9.16232 9
13411600 8.84021 9
13411700 8.62488 9
13411800 8.85054 9
13411900 9.12945 9
13412000 8.78661 9
13412100 8.90203 9
13412200 8.87496 9
13412300 8.5041 9
13412400 8.41772 9
13412500 8.82064 9
13412600 8.97854 9
13412700 9.00439 9
13412800 9.15385 9
13412900 8.88958 9
13413000 8.82431 9
13413100 8.75658 9
13413200 9.08659 9
13413300 9.26749 9
13413400 9.35113 9
13413500 9.1325 9
13413600 8.86358 9
13413700 8.66585 9
13413800 8.57809 9
13413900 8.70486 9
13414000 8.71477 9
13414100 8.98778 9
13414200 9.21484 9
13414300 9.27537 9
13414400 9.13176 9
13414500 9.26801 9
13414600 9.38905 9
13414700 9.15874 9
13414800 9.15272 9
13414900 8.79944 9
13415000 8.4939 9
13415100 8.48565 9
13415200 8.62679 9
13415300 8.72219 9
13415400 8.69024 9
13415500 8.81507 9
13415600 8.53667 9
13415700 8.39367 9
13415800 8.41947 9
13415900 8.62718 9
13416000 8.55335 9
13416100 8.50654 9
13416200 8.64383 9
13416300 8.85976 9
13416400 9.10145 9
13416500 9.11469 9
13416600 9.16655 9
13416700 9.25561 9
13416800 9.23923 9
13416900 9.40569 9
13417000 9.12248 9
13417100 8.90487 9
13417200 8.74384 9
13417300 9.0993 9
13417400 9.56205 9
13417500 9.61743 9
13417600 9.44271 9
13417700 9.31812 9
13417800 9.34567 9
13417900 8.97817 9
13418000 8.8435 9
13418100 8.72863 9
13418200 8.76145 9
13418300 8.62402 9
13418400 8.73559 9
13418500 8.78266 9
13418600 8.96176 9
13418700 9.07917 9
13418800 9.1227 9
13418900 9.23662 9
13419000 9.18104 9
13419100 9.26947 9
13419200 9.11426 9
13419300 8.60634 9
13419400 8.41845 9
13419500 8.63767 9
13419600 8.97798 9
13419700 9.15302 9
13419800 9.34022 9
13419900 9.13851 9
13420000 8.67451 9
13420100 8.52458 9
13420200 9.0892 9
13420300 9.51385 9
13420400 9.64219 9
13420500 9.1286 9
13420600 8.69 9
13420700 8.44616 9
13420800 8.69763 9
13420900 8.64662 9
13421000 8.54768 9
13421100 8.61847 9
13421200 8.83323 9
13421300 9.01332 9
13421400 8.87523 9
13421500 8.71266 9
13421600 8.60018 9
13421700 8.59232 9
13421800 8.59614 9
13421900 8.85145 9
13422000 9.04831 9
13422100 8.97096 9
13422200 8.6269 9
13422300 8.6343 9
13422400 8.63781 9
13422500 8.55348 9
13422600 8.36574 9
13422700 8.51109 9
13422800 8.21646 9
13422900 8.19866 9
13423000 8.32207 9
13423100 8.70194 9
13423200 9.00441 9
13423300 9.30065 9
13423400 9.45437 9
13423500 9.20788 9
13423600 9.34297 9
13423700 9.42277 9
13423800 9.30095 9
13423900 9.15961 9
13424000 8.7097 9
13424100 8.4935 9
13424200 8.56842 9
13424300 8.65351 9
13424400 8.60318 9
13424500 8.99764 9
13424600 9.26962 9
13424700 9.14509 9
13424800 9.54821 9
13424900 9.82865 9
13425000 9.65569 9
13425100 9.33308 9
13425200 9.61687 9
13425300 9.44164 9
13425400 9.42236 9
13425500 9.22508 9
13425600 9.16707 9
13425700 9.1125 9
13425800 9.21264 9
13425900 9.6982 9
13426000 9.93325 9
13426100 9.64258 9
13426200 9.19856 9
13426300 8.78854 9
13426400 8.48896 9
13426500 8.34024 9
13426600 8.43636 9
13426700 8.46234 9
13426800 8.62232 9
13426900 9.02453 9
13427000 8.98371 9
13427100 8.63206 9
13427200 8.43785 9
13427300 8.3297 9
13427400 8.40361 9
13427500 8.4155 9
13427600 8.45254 9
13427700 8.63854 9
13427800 8.92591 9
13427900 8.68737 9
13428000 8.86297 9
13428100 9.23444 9
13428200 9.30284 9
13428300 8.92262 9
13428400 8.63919 9
13428500 8.65579 9
13428600 8.66996 9
13428700 8.56618 9
13428800 8.65886 9
13428900 8.53008 9
13429000 8.4943 9
13429100 8.89576 9
13429200 9.07215 9
13429300 8.96407 9
13429400 9.20846 9
13429500 9.13957 9
13429600 9.21082 9
13429700 9.24695 9
13429800 9.3228 9
13429900 9.32449 9
13430000 9.24774 9
13430100 9.06512 9
13430200 8.61239 9
13430300 8.87739 9
13430400 9.13236 9
13430500 9.26355 9
13430600 9.3888 9
13430700 9.3507 9
13430800 9.3203 9
13430900 8.92458 9
13431000 8.58987 9
13431100 8.48804 9
13431200 8.90487 9
13431300 9.26633 9
13431400 9.48809 9
13431500 9.78363 9
13431600 9.44393 9
13431700 9.20946 9
13431800 9.08189 9
13431900 8.99914 9
13432000 9.02063 9
13432100 9.26345 9
13432200 9.20074 9
13432300 9.25963 9
13432400 9.36127 9
13432500 9.51968 9
13432600 9.88701 9
13432700 9.7342 9
13432800 9.70955 9
13432900 9.53619 9
13433000 9.20466 9
13433100 9.15681 9
13433200 9.47255 9
13433300 9.52281 9
13433400 9.768 9
13433500 9.8573 9
13433600 9.73211 9
13433700 9.75023 9
13433800 9.71913 9
13433900 9.67298 9
13434000 9.80974 9
13434100 9.66697 9
13434200 9.22469 9
13434300 9.21856 9
13434400 9.63814 9
13434500 9.6378 9
13434600 9.51321 9
13434700 9.3587 9
13434800 9.07772 9
13434900 9.06786 9
13435000 9.1142 9
13435100 9.2016 9
13435200 9.34112 9
13435300 9.38262 9
13435400 9.27912 9
13435500 9.15395 9
13435600 9.18511 9
13435700 9.22885 9
13435800 9.11022 9
13435900 9.15287 9
13436000 9.25184 9
13436100 9.25271 9
13436200 9.2291 9
13436300 9.03125 9
13436400 9.16335 9
13436500 9.16203 9
13436600 9.17322 9
13436700 9.318 9
13436800 9.31387 9
13436900 9.02856 9
13437000 9.10728 9
13437100 9.28688 9
13437200 8.95242 9
13437300 8.73479 9
13437400 8.77527 9
13437500 8.83558 9
13437600 8.7284 9
13437700 8.90245 9
13437800 9.08711 9
13437900 8.98363 9
13438000 8.82719 9
13438100 8.80008 9
13438200 8.66232 9
13438300 8.83404 9
13438400 9.19758 9
13438500 9.10202 9
13438600 9.07832 9
13438700 9.11978 9
13438800 9.3016 9
13438900 9.45484 9
13439000 9.12869 9
13439100 8.90727 9
13439200 8.80447 9
13439300 8.9906 9
13439400 9.41849 9
13439500 9.44134 9
13439600 9.32193 9
13439700 9.62177 9
13439800 9.43272 9
13439900 8.99516 9
13440000 8.89624 9
13440100 8.8602 9
13440200 8.8907 9
13440300 9.01807 9
13440400 8.84789 9
13440500 8.60619 9
13440600 8.71818 9
13440700 9.1089 9
13440800 9.34542 9
13440900 9.4038 9
13441000 9.35732 9
13441100 9.28039 9
13441200 8.89254 9
13441300 8.83556 9
13441400 8.97135 9
13441500 9.17383 9
13441600 9.15132 9
13441700 9.37848 9
13441800 9.85976 9
13441900 9.55971 9
13442000 9.47137 9
13442100 9.35347 9
13442200 9.18898 9
13442300 8.9149 9
13442400 8.93851 9
13442500 8.80571 9
13442600 8.72163 9
13442700 9.21839 9
13442800 9.33252 9
13442900 9.19846 9
13443000 9.22196 9
13443100 8.95736 9
13443200 8.80675 9
13443300 8.77723 9
13443400 8.82457 9
13443500 8.72388 9
13443600 8.66881 9
13443700 8.77171 9
13443800 8.93939 9
13443900 8.61303 9
13444000 8.26229 9
13444100 8.33917 9
13444200 8.55507 9
13444300 8.90936 9
13444400 9.13094 9
13444500 8.97198 9
13444600 8.9038 9
13444700 8.79894 9
13444800 8.67855 9
13444900 8.77321 9
13445000 9.12683 9
13445100 9.16167 9
13445200 9.31946 9
13445300 9.2778 9
13445400 9.24841 9
13445500 9.29237 9
13445600 9.29335 9
13445700 9.09897 9
13445800 8.96319 9
13445900 9.21997 9
13446000 9.46302 9
13446100 9.62553 9
13446200 9.63061 9
13446300 9.31336 9
13446400 9.26701 9
13446500 9.08515 9
13446600 8.56546 9
13446700 8.40987 9
13446800 8.87455 9
13446900 9.34736 9
13447000 9.10419 9
13447100 8.95444 9
13447200 8.8466 9
13447300 8.97916 9
13447400 8.85302 9
13447500 8.92155 9
13447600 9.03304 9
13447700 9.07108 9
13447800 8.77657 9
13447900 8.96267 9
13448000 9.17676 9
13448100 9.0402 9
13448200 8.86689 9
13448300 8.89298 9
13448400 9.12201 9
13448500 9.5475 9
13448600 9.34111 9
13448700 8.92018 9
13448800 8.98856 9
13448900 8.97966 9
13449000 8.89734 9
13449100 8.82385 9
13449200 8.74432 9
13449300 8.61716 9
13449400 8.8255 9
13449500 8.92426 9
13449600 9.03676 9
13449700 9.18372 9
13449800 8.95016 9
13449900 8.68582 9
13450000 8.74577 9
13450100 8.81645 9
13450200 8.81857 9
13450300 8.81225 9
13450400 8.85641 9
13450500 8.93786 9
13450600 9.07722 9
13450700 9.12032 9
13450800 9.17531 9
13450900 9.04509 9
13451000 9.00269 9
13451100 9.02886 9
13451200 8.65324 9
13451300 8.34647 9
13451400 8.23213 9
13451500 8.50134 9
13451600 8.81162 9
13451700 8.99511 9
13451800 9.04948 9
13451900 9.22693 9
13452000 9.26644 9
13452100 8.92234 9
13452200 8.82632 9
13452300 8.86402 9
13452400 8.86411 9
13452500 9.07933 9
13452600 9.34646 9
13452700 9.42467 9
13452800 9.5442 9
13452900 9.64007 9
13453000 9.46576 9
13453100 9.2921 9
13453200 9.46887 9
13453300 9.18554 9
13453400 9.31077 9
13453500 9.30572 9
13453600 9.44706 9
13453700 9.53272 9
13453800 9.26914 9
13453900 8.9113 9
13454000 9.05037 9
13454100 9.02705 9
13454200 9.21565 9
13454300 9.27813 9
13454400 9.2022 9
13454500 9.33202 9
13454600 9.54921 9
13454700 9.45695 9
13454800 9.44247 9
13454900 9.4453 9
13455000 9.45548 9
13455100 9.30663 9
13455200 8.94488 9
13455300 8.97088 9
13455400 8.89807 9
13455500 8.92243 9
13455600 9.033 9
13455700 9.29759 9
13455800 9.22156 9
13455900 9.05277 9
13456000 8.98184 9
13456100 9.0802 9
13456200 8.94325 9
13456300 8.68006 9
13456400 8.83119 9
13456500 8.81086 9
13456600 8.64175 9
13456700 8.57496 9
13456800 8.68139 9
13456900 8.69521 9
13457000 8.72423 9
13457100 9.17243 9
13457200 9.1278 9
13457300 8.89755 9
13457400 8.81663 9
13457500 8.82826 9
13457600 8.64382 9
13457700 8.50814 9
13457800 8.97209 9
13457900 9.17907 9
13458000 8.95615 9
13458100 9.06684 9
13458200 9.19046 9
13458300 9.37438 9
13458400 9.31052 9
13458500 9.37977 9
13458600 9.16312 9
13458700 9.11811 9
13458800 8.99865 9
13458900 9.00074 9
13459000 9.32765 9
13459100 9.26069 9
13459200 9.05663 9
13459300 9.15471 9
13459400 9.23371 9
13459500 9.04796 9
13459600 9.05716 9
13459700 9.24125 9
13459800 9.63973 9
13459900 9.73772 9
13460000 9.71783 9
13460100 9.7611 9
13460200 9.39778 9
13460300 9.00156 9
13460400 8.91239 9
13460500 8.82615 9
13460600 8.72619 9
13460700 9.0102 9
13460800 9.17884 9
13460900 9.08136 9
13461000 9.31833 9
13461100 9.11585 9
13461200 8.69329 9
13461300 8.33271 9
13461400 8.45405 9
13461500 8.40098 9
13461600 8.5121 9
13461700 8.68149 9
13461800 8.93466 9
13461900 8.98802 9
13462000 8.94023 9
13462100 8.7779 9
13462200 8.89703 9
13462300 9.01909 9
13462400 9.20726 9
13462500 9.17114 9
13462600 8.96934 9
13462700 8.93338 9
13462800 9.06558 9
13462900 9.16891 9
13463000 8.8846 9
13463100 8.53029 9
13463200 8.61064 9
13463300 8.44092 9
13463400 8.71709 9
13463500 8.99929 9
13463600 9.20458 9
13463700 9.04107 9
13463800 9.0839 9
13463900 9.23292 9
13464000 9.23618 9
13464100 9.56616 9
13464200 9.57365 9
13464300 9.43453 9
13464400 9.36518 9
13464500 9.53744 9
13464600 9.61984 9
13464700 9.45805 9
13464800 9.34873 9
13464900 9.03493 9
13465000 8.92882 9
13465100 8.96483 9
13465200 8.89973 9
13465300 8.87643 9
13465400 9.0062 9
13465500 9.09081 9
13465600 9.5158 9
13465700 9.36805 9
13465800 9.50852 9
13465900 9.51348 9
13466000 9.12747 9
13466100 9.17689 9
13466200 9.34118 9
13466300 9.40097 9
13466400 9.41141 9
13466500 9.33619 9
13466600 9.09891 9
13466700 9.00529 9
13466800 9.14282 9
13466900 9.4165 9
13467000 9.34685 9
13467100 9.37725 9
13467200 9.51009 9
13467300 9.66063 9
13467400 9.26426 9
13467500 8.63092 9
13467600 8.51963 9
13467700 8.70993 9
13467800 8.6387 9
13467900 8.20404 9
13468000 7.99463 9
13468100 8.2427 9
13468200 8.52336 9
13468300 8.86321 9
13468400 9.27036 9
13468500 9.14468 9
13468600 9.07084 9
13468700 8.85804 9
13468800 8.72163 9
13468900 8.73016 9
13469000 9.11237 9
13469100 9.58517 9
13469200 9.83629 9
13469300 9.86854 9
13469400 9.71891 9
13469500 9.74505 9
13469600 9.73383 9
13469700 9.71215 9
13469800 9.82201 9
13469900 9.64572 9
13470000 9.3964 9
13470100 9.11673 9
13470200 8.82435 9
13470300 9.11076 9
13470400 9.13525 9
13470500 8.6153 9
13470600 8.60924 9
13470700 8.74172 9
13470800 9.04355 9
13470900 9.02801 9
13471000 8.9 9
13471100 8.81979 9
13471200 8.97494 9
13471300 9.27486 9
13471400 9.37971 9
13471500 9.23511 9
13471600 9.23366 9
13471700 9.16892 9
13471800 9.12828 9
13471900 9.23188 9
13472000 8.93391 9
13472100 8.86539 9
13472200 9.35559 9
13472300 9.71312 9
13472400 9.90408 9
13472500 10.1159 9
13472600 10.1294 9
13472700 9.9066 9
13472800 9.52021 9
13472900 9.17454 9
13473000 9.03039 9
13473100 9.04665 9
13473200 9.22972 9
13473300 9.15907 9
13473400 9.1581 9
13473500 9.06497 9
13473600 9.22563 9
13473700 9.47666 9
13473800 9.60668 9
13473900 9.53745 9
13474000 9.54999 9
13474100 9.62513 9
13474200 9.85222 9
13474300 9.57393 9
13474400 9.43568 9
13474500 9.25506 9
13474600 9.38162 9
13474700 9.4858 9
13474800 9.63348 9
13474900 9.58517 9
13475000 9.24484 9
13475100 9.22885 9
13475200 9.28901 9
13475300 9.20079 9
13475400 8.92467 9
13475500 8.80129 9
13475600 8.87267 9
13475700 8.86319 9
13475800 8.94007 9
13475900 9.04865 9
13476000 9.12619 9
13476100 9.05412 9
13476200 9.03958 9
13476300 9.05858 9
13476400 9.26063 9
13476500 9.33292 9
13476600 8.84999 9
13476700 8.60848 9
13476800 8.69106 9
13476900 8.73388 9
13477000 8.59998 9
13477100 8.64658 9
13477200 8.66139 9
13477300 8.88342 9
13477400 9.02401 9
13477500 9.24645 9
13477600 9.22034 9
13477700 9.23617 9
13477800 9.15816 9
13477900 9.25994 9
13478000 9.52626 9
13478100 9.49296 9
13478200 9.21391 9
13478300 9.11134 9
13478400 9.04194 9
13478500 8.9341 9
13478600 9.11722 9
13478700 9.05428 9
13478800 9.08008 9
13478900 8.79142 9
13479000 8.28079 9
13479100 8.1877 9
13479200 8.45686 9
13479300 8.30045 9
13479400 8.32979 9
13479500 8.68496 9
13479600 8.80576 9
13479700 8.62866 9
13479800 8.78134 9
13479900 9.09009 9
13480000 9.26896 9
13480100 9.6074 9
13480200 9.32193 9
13480300 9.05789 9
13480400 8.88809 9
