# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
11000100 3.78481 3
11000200 3.83065 3
11000300 3.95008 3
11000400 3.97719 3
11000500 4.09726 3
11000600 4.59924 3
11000700 5.21746 3
11000800 5.46284 3
11000900 5.45337 3
11001000 5.14019 3
11001100 5.15794 3
11001200 5.17304 3
11001300 5.08778 3
11001400 5.25083 3
11001500 5.32492 3
11001600 5.28458 3
11001700 5.39372 3
11001800 5.1979 3
11001900 5.21937 3
11002000 5.05517 3
11002100 5.14085 3
11002200 5.34471 3
11002300 5.41519 3
11002400 5.57957 3
11002500 5.34092 3
11002600 5.32593 3
11002700 5.50407 3
11002800 5.57725 3
11002900 5.41982 3
11003000 5.43054 3
11003100 5.45182 3
11003200 5.53331 3
11003300 5.81217 3
11003400 5.55573 3
11003500 5.4423 3
11003600 5.36836 3
11003700 5.32675 3
11003800 5.41747 3
11003900 5.66667 3
11004000 5.27513 3
11004100 5.02354 3
11004200 5.18819 3
11004300 5.28236 3
11004400 5.34045 3
11004500 5.30628 3
11004600 5.20342 3
11004700 5.07349 3
11004800 4.98515 3
11004900 5.41763 3
11005000 5.14354 3
11005100 5.11715 3
11005200 5.15819 3
11005300 5.25839 3
11005400 5.26755 3
11005500 5.1951 3
11005600 5.19614 3
11005700 5.3826 3
11005800 5.53023 3
11005900 5.32581 3
11006000 5.44201 3
11006100 5.5854 3
11006200 5.33815 3
11006300 5.32082 3
11006400 5.17107 3
11006500 5.18135 3
11006600 5.09015 3
11006700 5.28155 3
11006800 5.2666 3
11006900 5.28324 3
11007000 5.14583 3
11007100 5.19711 3
11007200 4.98103 3
11007300 5.32392 3
11007400 5.41605 3
11007500 5.20544 3
11007600 5.22149 3
11007700 5.22286 3
11007800 5.14451 3
11007900 5.29412 3
11008000 5.46269 3
11008100 5.32158 3
11008200 5.56081 3
11008300 5.57878 3
11008400 5.1321 3
11008500 5.05798 3
11008600 5.43185 3
11008700 5.42429 3
11008800 5.1609 3
11008900 5.19537 3
11009000 5.24624 3
11009100 5.62003 3
11009200 5.55386 3
11009300 5.41226 3
11009400 5.304 3
11009500 5.42341 3
11009600 5.27213 3
11009700 5.14908 3
11009800 5.20571 3
11009900 5.34516 3
11010000 5.31798 3
11010100 5.39458 3
11010200 5.44642 3
11010300 5.30142 3
11010400 5.15995 3
11010500 5.36464 3
11010600 5.49264 3
11010700 5.58281 3
11010800 5.61141 3
11010900 5.48205 3
11011000 5.1505 3
