# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
3800100 -14.8783 -15
3800200 -15.0108 -15
3800300 -14.9677 -15
3800400 -14.8513 -15
3800500 -15.0145 -15
3800600 -14.7662 -15
3800700 -14.5226 -15
3800800 -14.2663 -15
3800900 -13.9703 -15
3801000 -13.9483 -15
3801100 -14.2493 -15
3801200 -14.4783 -15
3801300 -14.7153 -15
3801400 -14.8223 -15
3801500 -14.8964 -15
3801600 -15.1088 -15
3801700 -14.9357 -15
3801800 -14.6897 -15
3801900 -14.711 -15
3802000 -14.656 -15
3802100 -14.5903 -15
3802200 -14.5886 -15
3802300 -14.5746 -15
3802400 -14.6791 -15
3802500 -15.0306 -15
3802600 -15.0523 -15
3802700 -15.0974 -15
3802800 -14.809 -15
3802900 -14.8702 -15
3803000 -14.8452 -15
3803100 -14.6867 -15
3803200 -14.4374 -15
3803300 -14.6439 -15
3803400 -15.0323 -15
3803500 -15.0719 -15
3803600 -14.8908 -15
3803700 -15.0513 -15
3803800 -15.1253 -15
3803900 -15.3448 -15
3804000 -15.222 -15
3804100 -15.1991 -15
3804200 -14.9283 -15
3804300 -14.7508 -15
3804400 -14.8183 -15
3804500 -14.82 -15
3804600 -14.9628 -15
3804700 -15.0682 -15
3804800 -15.1262 -15
3804900 -15.0223 -15
3805000 -15.2608 -15
3805100 -15.3221 -15
3805200 -15.483 -15
3805300 -15.2296 -15
3805400 -14.9594 -15
3805500 -14.7981 -15
3805600 -15.2263 -15
3805700 -15.1204 -15
3805800 -15.1423 -15
3805900 -15.1211 -15
3806000 -15.1618 -15
3806100 -14.8954 -15
3806200 -14.5237 -15
3806300 -14.2708 -15
3806400 -14.2853 -15
3806500 -14.6615 -15
3806600 -14.7969 -15
3806700 -14.8431 -15
3806800 -14.7678 -15
3806900 -14.8302 -15
3807000 -14.62 -15
3807100 -14.7614 -15
3807200 -15.5049 -15
3807300 -15.9561 -15
3807400 -15.8906 -15
3807500 -15.5138 -15
3807600 -15.1339 -15
3807700 -14.9408 -15
3807800 -15.0365 -15
3807900 -15.0381 -15
3808000 -15.0239 -15
3808100 -14.7716 -15
3808200 -14.684 -15
3808300 -14.6657 -15
3808400 -14.6944 -15
3808500 -14.6346 -15
