# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
11800100 6.26414 5
11800200 5.94016 5
11800300 5.58968 5
11800400 5.4934 5
11800500 5.71053 5
11800600 5.97333 5
11800700 5.975 5
11800800 5.99382 5
11800900 5.68556 5
11801000 5.50757 5
11801100 5.60718 5
11801200 5.84309 5
11801300 5.89721 5
11801400 5.85309 5
11801500 5.80656 5
11801600 5.66345 5
11801700 5.6964 5
11801800 5.72463 5
11801900 5.48082 5
11802000 5.44497 5
11802100 5.93064 5
11802200 6.0421 5
11802300 5.8622 5
11802400 5.91001 5
11802500 5.86453 5
11802600 5.57973 5
11802700 5.44441 5
11802800 5.87632 5
11802900 6.35662 5
11803000 6.30654 5
11803100 6.14103 5
11803200 6.09588 5
11803300 6.12702 5
11803400 5.92675 5
11803500 5.96849 5
11803600 5.58064 5
11803700 5.57114 5
11803800 5.7862 5
11803900 5.65759 5
11804000 5.68343 5
11804100 5.9471 5
11804200 5.82931 5
11804300 5.99254 5
11804400 6.19864 5
11804500 5.84118 5
11804600 5.62925 5
11804700 5.95884 5
11804800 6.12231 5
11804900 6.17269 5
11805000 6.41074 5
11805100 6.22899 5
11805200 5.56024 5
11805300 5.56324 5
11805400 5.90903 5
11805500 5.60024 5
11805600 5.77754 5
11805700 5.90618 5
11805800 6.02068 5
11805900 6.04627 5
11806000 5.56709 5
11806100 5.61317 5
11806200 6.02584 5
11806300 5.88932 5
11806400 5.79577 5
11806500 5.64052 5
11806600 5.72479 5
11806700 5.9222 5
11806800 6.08332 5
11806900 5.82872 5
11807000 5.58321 5
11807100 5.74245 5
11807200 5.90582 5
11807300 5.83896 5
11807400 5.76941 5
11807500 6.12698 5
11807600 6.0693 5
11807700 5.96753 5
11807800 5.94101 5
11807900 5.9151 5
11808000 5.68578 5
11808100 5.61613 5
11808200 5.76816 5
11808300 5.84305 5
11808400 5.7498 5
11808500 5.66548 5
11808600 6.08562 5
11808700 6.07917 5
11808800 6.00334 5
11808900 5.85672 5
11809000 5.70961 5
11809100 5.74598 5
11809200 6.0539 5
11809300 5.95924 5
11809400 5.80517 5
11809500 6.00453 5
11809600 6.15689 5
11809700 6.01783 5
11809800 5.52913 5
11809900 5.74936 5
11810000 5.96297 5
11810100 5.69418 5
11810200 5.39713 5
11810300 5.68667 5
11810400 6.17936 5
11810500 6.27616 5
11810600 6.04602 5
11810700 5.95009 5
11810800 6.0115 5
11810900 5.87878 5
11811000 5.74023 5
11811100 5.78368 5
11811200 5.93041 5
11811300 6.16913 5
11811400 6.2679 5
11811500 6.01673 5
11811600 5.736 5
11811700 5.47651 5
11811800 5.49271 5
11811900 5.88811 5
11812000 5.74599 5
11812100 5.42566 5
11812200 5.45712 5
11812300 5.65576 5
11812400 5.99051 5
11812500 6.05149 5
11812600 5.78476 5
11812700 5.61055 5
11812800 5.71149 5
11812900 5.6848 5
11813000 5.51606 5
11813100 5.79896 5
11813200 5.9924 5
11813300 5.79713 5
11813400 5.52352 5
11813500 5.69125 5
11813600 5.9811 5
11813700 5.93725 5
11813800 5.64437 5
11813900 5.59941 5
11814000 5.56995 5
11814100 5.58954 5
11814200 5.34965 5
11814300 5.62414 5
11814400 5.87227 5
11814500 5.82541 5
11814600 5.98986 5
11814700 5.89834 5
11814800 5.77169 5
11814900 5.78068 5
11815000 5.88662 5
11815100 5.66869 5
11815200 5.59018 5
11815300 5.59973 5
11815400 5.4851 5
11815500 5.42011 5
11815600 5.71248 5
11815700 5.86838 5
11815800 5.93898 5
11815900 5.73296 5
11816000 5.76381 5
11816100 5.92485 5
11816200 6.05989 5
11816300 6.43351 5
11816400 6.33112 5
11816500 6.30344 5
11816600 6.20603 5
11816700 6.25561 5
11816800 6.02871 5
11816900 5.81285 5
11817000 5.79406 5
11817100 6.1044 5
11817200 6.27343 5
11817300 6.15238 5
11817400 5.9 5
11817500 5.89079 5
11817600 5.8196 5
11817700 6.12097 5
11817800 6.22369 5
11817900 6.1227 5
11818000 6.21997 5
11818100 6.29181 5
11818200 6.29977 5
11818300 5.92548 5
11818400 5.75931 5
11818500 5.92191 5
11818600 5.98182 5
11818700 5.86731 5
11818800 5.5824 5
11818900 5.8337 5
11819000 6.16487 5
11819100 6.06037 5
11819200 5.99322 5
11819300 6.22906 5
11819400 6.42623 5
11819500 6.24478 5
11819600 5.74165 5
11819700 5.48624 5
11819800 5.57955 5
11819900 5.69202 5
11820000 5.81375 5
11820100 6.06751 5
11820200 6.15929 5
11820300 6.07816 5
11820400 5.96045 5
11820500 5.9314 5
11820600 5.92477 5
11820700 6.10254 5
11820800 5.99865 5
11820900 5.83657 5
11821000 5.67093 5
11821100 6.00043 5
11821200 6.10418 5
11821300 5.75339 5
11821400 5.54689 5
11821500 5.85313 5
11821600 5.77801 5
11821700 5.89053 5
11821800 6.26863 5
11821900 6.04236 5
11822000 5.76113 5
11822100 5.77347 5
11822200 5.75354 5
11822300 5.85666 5
11822400 5.86797 5
11822500 6.00834 5
11822600 6.00467 5
11822700 6.00067 5
11822800 6.0861 5
11822900 6.09441 5
11823000 5.70161 5
11823100 5.59156 5
11823200 5.62579 5
11823300 5.95736 5
11823400 6.0223 5
11823500 6.04603 5
11823600 5.90842 5
11823700 5.75201 5
11823800 5.86234 5
11823900 6.139 5
11824000 5.84646 5
11824100 5.74871 5
11824200 5.86779 5
11824300 6.02318 5
11824400 6.33418 5
11824500 6.20121 5
11824600 6.31666 5
11824700 6.2491 5
11824800 6.06586 5
11824900 5.71591 5
11825000 5.63163 5
11825100 5.76218 5
11825200 6.01349 5
11825300 6.23298 5
11825400 6.09326 5
11825500 5.82557 5
11825600 6.05844 5
11825700 6.02546 5
11825800 5.97435 5
11825900 6.07616 5
11826000 6.23149 5
11826100 5.83142 5
11826200 5.89294 5
11826300 6.0029 5
11826400 6.13168 5
11826500 6.0875 5
11826600 6.17166 5
11826700 6.21794 5
11826800 5.95406 5
11826900 5.77915 5
11827000 5.82644 5
11827100 5.79055 5
11827200 5.57792 5
11827300 5.92388 5
11827400 5.95679 5
11827500 5.80821 5
11827600 5.68432 5
11827700 5.69422 5
11827800 5.90594 5
11827900 5.78148 5
11828000 5.68281 5
11828100 5.58846 5
11828200 5.92904 5
11828300 5.92489 5
11828400 5.69252 5
11828500 5.75313 5
11828600 6.103 5
11828700 5.99264 5
11828800 6.00698 5
11828900 6.03927 5
11829000 6.08229 5
11829100 5.88791 5
11829200 5.85713 5
11829300 5.79314 5
11829400 5.81296 5
11829500 6.03598 5
11829600 5.86988 5
11829700 5.70028 5
11829800 6.24624 5
11829900 6.44951 5
11830000 6.35986 5
11830100 6.17221 5
11830200 6.02045 5
11830300 6.16641 5
11830400 6.03643 5
11830500 5.73136 5
11830600 5.57134 5
11830700 5.67128 5
11830800 5.72628 5
11830900 5.67557 5
11831000 5.75996 5
11831100 5.83055 5
11831200 5.49421 5
11831300 5.36073 5
11831400 5.87847 5
11831500 6.10521 5
