# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
4200100 -13.7511 -14
4200200 -13.8041 -14
4200300 -13.9744 -14
4200400 -13.8942 -14
4200500 -13.9975 -14
4200600 -14.12 -14
4200700 -14.4069 -14
4200800 -14.6036 -14
4200900 -14.7259 -14
4201000 -14.7891 -14
4201100 -14.3208 -14
4201200 -14.1847 -14
4201300 -14.5189 -14
4201400 -14.8612 -14
4201500 -14.8747 -14
4201600 -14.7049 -14
4201700 -14.8364 -14
4201800 -14.9943 -14
4201900 -15.0132 -14
4202000 -14.6485 -14
4202100 -14.38 -14
4202200 -14.4551 -14
4202300 -14.5857 -14
4202400 -14.4387 -14
4202500 -14.1237 -14
4202600 -13.9108 -14
4202700 -14.0051 -14
4202800 -14.2106 -14
4202900 -14.471 -14
4203000 -14.5356 -14
4203100 -14.4166 -14
4203200 -14.4835 -14
4203300 -14.3251 -14
4203400 -14.1942 -14
4203500 -14.1567 -14
4203600 -13.7249 -14
4203700 -13.5053 -14
4203800 -13.3889 -14
4203900 -13.5387 -14
4204000 -13.738 -14
4204100 -13.8713 -14
4204200 -14.046 -14
4204300 -14.1113 -14
4204400 -14.2972 -14
4204500 -14.4292 -14
4204600 -14.3595 -14
4204700 -14.3782 -14
4204800 -14.1755 -14
4204900 -13.7829 -14
4205000 -13.7281 -14
4205100 -13.842 -14
4205200 -13.8641 -14
4205300 -13.7791 -14
4205400 -13.6772 -14
4205500 -13.929 -14
4205600 -13.7535 -14
4205700 -13.7368 -14
4205800 -13.8754 -14
4205900 -13.8791 -14
4206000 -13.9936 -14
4206100 -14.2021 -14
4206200 -14.2336 -14
4206300 -14.3455 -14
4206400 -14.2042 -14
4206500 -14.0497 -14
4206600 -14.0572 -14
4206700 -14.0599 -14
4206800 -14.3989 -14
4206900 -14.6389 -14
4207000 -14.4857 -14
4207100 -14.1166 -14
4207200 -14.1719 -14
4207300 -14.0533 -14
4207400 -13.9449 -14
4207500 -14.0231 -14
4207600 -13.6478 -14
4207700 -13.3468 -14
4207800 -13.4037 -14
4207900 -13.8407 -14
4208000 -14.3488 -14
4208100 -14.7003 -14
4208200 -14.6528 -14
4208300 -14.4613 -14
4208400 -14.3824 -14
4208500 -14.5154 -14
4208600 -14.6487 -14
4208700 -14.5645 -14
4208800 -14.4253 -14
4208900 -14.0721 -14
4209000 -13.9534 -14
4209100 -14.2014 -14
4209200 -14.5187 -14
4209300 -14.6316 -14
4209400 -14.5528 -14
4209500 -14.1368 -14
4209600 -13.9381 -14
4209700 -13.8035 -14
4209800 -13.9467 -14
4209900 -13.7431 -14
4210000 -13.7973 -14
4210100 -13.6193 -14
4210200 -13.4715 -14
4210300 -13.2438 -14
4210400 -13.3339 -14
4210500 -13.5905 -14
4210600 -13.7718 -14
4210700 -13.7058 -14
4210800 -13.8672 -14
4210900 -13.8681 -14
4211000 -13.6891 -14
4211100 -13.3536 -14
4211200 -12.9871 -14
4211300 -12.7503 -14
4211400 -13.0447 -14
4211500 -13.3613 -14
4211600 -13.8181 -14
4211700 -14.1771 -14
4211800 -14.4757 -14
4211900 -14.3784 -14
4212000 -14.4399 -14
4212100 -14.4608 -14
4212200 -14.2005 -14
4212300 -14.0048 -14
4212400 -14.1601 -14
4212500 -14.4833 -14
4212600 -14.6127 -14
4212700 -14.5339 -14
4212800 -14.3017 -14
4212900 -14.1694 -14
4213000 -13.8213 -14
4213100 -13.8047 -14
4213200 -14.0427 -14
4213300 -14.5876 -14
4213400 -14.6857 -14
4213500 -14.7249 -14
4213600 -14.5073 -14
4213700 -13.9885 -14
4213800 -13.4739 -14
4213900 -13.2501 -14
4214000 -13.0746 -14
4214100 -12.9672 -14
4214200 -12.9859 -14
4214300 -13.2907 -14
4214400 -13.5637 -14
4214500 -13.5626 -14
4214600 -13.3428 -14
4214700 -13.1254 -14
4214800 -13.4164 -14
4214900 -13.8416 -14
4215000 -13.9719 -14
4215100 -14.2036 -14
4215200 -14.4005 -14
4215300 -14.3627 -14
4215400 -14.1043 -14
4215500 -13.8692 -14
4215600 -13.7296 -14
4215700 -13.6368 -14
4215800 -13.9659 -14
4215900 -14.441 -14
4216000 -14.6273 -14
4216100 -14.8068 -14
4216200 -14.5283 -14
4216300 -14.0832 -14
4216400 -13.9246 -14
4216500 -13.7086 -14
4216600 -13.5065 -14
4216700 -13.829 -14
4216800 -13.716 -14
4216900 -13.6765 -14
4217000 -13.8269 -14
4217100 -13.8136 -14
4217200 -13.9656 -14
4217300 -14.1937 -14
4217400 -14.2539 -14
4217500 -14.0137 -14
4217600 -13.7577 -14
4217700 -14.0823 -14
4217800 -13.9405 -14
4217900 -14.1379 -14
4218000 -14.4105 -14
4218100 -14.44 -14
4218200 -14.5171 -14
4218300 -14.2852 -14
4218400 -14.1696 -14
4218500 -14.0225 -14
4218600 -13.8911 -14
4218700 -14.0705 -14
4218800 -13.8344 -14
4218900 -13.7115 -14
4219000 -13.8416 -14
4219100 -13.8538 -14
4219200 -14.0618 -14
4219300 -14.2191 -14
4219400 -14.2351 -14
4219500 -14.1054 -14
4219600 -13.8478 -14
4219700 -13.7281 -14
4219800 -13.5475 -14
4219900 -13.4155 -14
4220000 -13.4695 -14
4220100 -13.8408 -14
4220200 -13.9189 -14
4220300 -14.1129 -14
4220400 -14.2642 -14
4220500 -14.3297 -14
4220600 -14.1961 -14
4220700 -14.1872 -14
4220800 -14.2996 -14
4220900 -14.2847 -14
4221000 -14.2003 -14
4221100 -14.0555 -14
4221200 -13.9644 -14
4221300 -13.8371 -14
4221400 -14.0723 -14
4221500 -13.974 -14
4221600 -13.5301 -14
4221700 -13.6913 -14
4221800 -13.9932 -14
4221900 -14.2942 -14
4222000 -14.4598 -14
4222100 -14.5424 -14
4222200 -14.3698 -14
4222300 -14.4065 -14
4222400 -14.511 -14
4222500 -14.3662 -14
4222600 -14.1632 -14
4222700 -14.1307 -14
4222800 -13.8709 -14
4222900 -13.706 -14
4223000 -13.8739 -14
4223100 -14.2002 -14
4223200 -14.5021 -14
4223300 -14.1894 -14
4223400 -13.8021 -14
4223500 -13.9115 -14
4223600 -14.1387 -14
4223700 -14.6628 -14
4223800 -14.7917 -14
4223900 -14.802 -14
4224000 -14.7856 -14
4224100 -15.0353 -14
4224200 -14.8945 -14
4224300 -14.5781 -14
4224400 -14.1037 -14
4224500 -13.7938 -14
4224600 -13.8706 -14
4224700 -13.7307 -14
4224800 -13.7362 -14
4224900 -13.9408 -14
4225000 -14.1512 -14
4225100 -14.0003 -14
4225200 -13.8874 -14
4225300 -13.797 -14
4225400 -14.0514 -14
4225500 -14.3769 -14
4225600 -14.7634 -14
4225700 -14.8823 -14
4225800 -14.5614 -14
4225900 -14.3934 -14
4226000 -14.2251 -14
4226100 -14.1608 -14
4226200 -14.2904 -14
4226300 -14.2498 -14
4226400 -13.8366 -14
4226500 -13.9747 -14
4226600 -14.1766 -14
4226700 -14.3103 -14
4226800 -14.1148 -14
4226900 -14.2064 -14
4227000 -14.1374 -14
4227100 -13.9011 -14
4227200 -13.9686 -14
4227300 -13.8416 -14
4227400 -13.8562 -14
4227500 -13.9507 -14
4227600 -14.1494 -14
4227700 -14.3231 -14
4227800 -14.2846 -14
4227900 -14.2653 -14
4228000 -14.3792 -14
4228100 -14.3986 -14
4228200 -14.2122 -14
4228300 -14.1501 -14
4228400 -14.0876 -14
4228500 -14.0196 -14
4228600 -14.0547 -14
4228700 -14.2934 -14
4228800 -14.3058 -14
4228900 -14.1555 -14
4229000 -13.9197 -14
4229100 -14.014 -14
4229200 -13.9813 -14
4229300 -13.7778 -14
4229400 -13.5442 -14
4229500 -13.1784 -14
4229600 -12.9579 -14
4229700 -13.1004 -14
4229800 -13.8291 -14
4229900 -13.9185 -14
4230000 -13.8326 -14
4230100 -13.9006 -14
4230200 -14.0295 -14
4230300 -14.3347 -14
4230400 -14.6092 -14
4230500 -14.6231 -14
4230600 -14.3901 -14
4230700 -14.3035 -14
4230800 -14.3706 -14
4230900 -14.2118 -14
4231000 -13.9087 -14
4231100 -13.815 -14
4231200 -13.8874 -14
4231300 -13.9544 -14
4231400 -14.1205 -14
4231500 -13.9699 -14
4231600 -13.7584 -14
4231700 -13.502 -14
4231800 -13.1989 -14
4231900 -13.0476 -14
4232000 -13.1278 -14
4232100 -13.529 -14
4232200 -13.5102 -14
4232300 -13.5085 -14
4232400 -13.3996 -14
4232500 -13.6478 -14
4232600 -13.9559 -14
4232700 -14.2206 -14
4232800 -14.5015 -14
4232900 -14.5316 -14
4233000 -14.6083 -14
4233100 -14.8501 -14
4233200 -14.7779 -14
4233300 -14.833 -14
4233400 -14.8706 -14
4233500 -14.5213 -14
4233600 -14.5925 -14
4233700 -14.5199 -14
4233800 -13.9684 -14
4233900 -13.7961 -14
