# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
10200100 0.628494 1
10200200 0.753695 1
10200300 0.822916 1
10200400 0.570155 1
10200500 0.436281 1
10200600 0.660158 1
10200700 0.61036 1
10200800 0.486341 1
10200900 0.239638 1
10201000 0.243095 1
10201100 0.651614 1
10201200 0.853587 1
10201300 0.935377 1
10201400 0.983826 1
10201500 1.04679 1
10201600 1.40774 1
10201700 1.76341 1
10201800 1.8835 1
10201900 1.71187 1
10202000 1.39631 1
10202100 1.11023 1
10202200 0.833855 1
10202300 0.799919 1
10202400 0.958418 1
10202500 1.22014 1
10202600 1.34807 1
10202700 1.48118 1
10202800 1.39458 1
10202900 1.14451 1
10203000 0.838856 1
10203100 0.645559 1
10203200 0.713224 1
10203300 0.724972 1
10203400 0.915445 1
10203500 1.07154 1
10203600 0.846096 1
10203700 0.815259 1
10203800 1.06714 1
10203900 1.25581 1
10204000 1.28647 1
10204100 1.40354 1
10204200 1.44062 1
10204300 1.00539 1
10204400 1.03994 1
10204500 1.1741 1
10204600 1.15033 1
10204700 0.958282 1
10204800 0.746429 1
10204900 0.513588 1
10205000 0.652738 1
10205100 0.685582 1
10205200 0.69953 1
10205300 0.722664 1
10205400 0.671172 1
10205500 0.789729 1
10205600 1.02188 1
10205700 1.26936 1
10205800 1.29579 1
10205900 1.18636 1
10206000 1.26096 1
10206100 1.18504 1
10206200 1.3019 1
10206300 1.26901 1
10206400 1.13629 1
10206500 1.08032 1
10206600 0.991237 1
10206700 1.22526 1
10206800 1.59379 1
10206900 1.45257 1
10207000 1.17544 1
10207100 0.962167 1
10207200 1.16525 1
10207300 1.1863 1
10207400 1.25676 1
10207500 1.18705 1
10207600 1.14699 1
10207700 1.16741 1
10207800 1.40308 1
10207900 1.55864 1
10208000 1.39665 1
10208100 1.03036 1
10208200 0.958504 1
10208300 0.931769 1
10208400 0.684148 1
10208500 0.587908 1
10208600 0.967996 1
10208700 0.789017 1
10208800 0.740582 1
10208900 0.580857 1
10209000 0.85754 1
10209100 1.15533 1
10209200 1.11564 1
10209300 1.00366 1
10209400 0.777864 1
10209500 0.661817 1
10209600 0.940051 1
10209700 1.0723 1
10209800 1.18439 1
10209900 1.10084 1
10210000 1.19345 1
10210100 1.29063 1
10210200 1.59804 1
10210300 1.34829 1
10210400 0.808995 1
10210500 0.105547 1
10210600 0.0221614 1
10210700 0.271066 1
10210800 0.892674 1
10210900 0.976213 1
10211000 1.0778 1
10211100 1.08338 1
10211200 0.771901 1
10211300 0.472926 1
10211400 0.511835 1
10211500 0.819088 1
10211600 0.659165 1
10211700 0.564795 1
10211800 0.501102 1
10211900 0.224175 1
10212000 -0.00805529 1
10212100 0.231157 1
10212200 0.607326 1
10212300 0.710511 1
10212400 0.893733 1
10212500 0.860947 1
10212600 0.904779 1
10212700 0.918132 1
10212800 1.07054 1
10212900 1.0136 1
10213000 0.918042 1
10213100 1.00804 1
10213200 0.880185 1
10213300 0.766724 1
10213400 0.904439 1
10213500 1.15692 1
10213600 1.33578 1
10213700 1.08025 1
10213800 0.893257 1
10213900 0.761073 1
10214000 0.831082 1
10214100 0.808824 1
10214200 0.615885 1
10214300 0.628465 1
10214400 0.387068 1
10214500 0.411816 1
10214600 0.59694 1
10214700 0.569732 1
10214800 0.518684 1
10214900 0.365324 1
10215000 0.254976 1
10215100 0.620998 1
10215200 0.933676 1
10215300 0.806605 1
10215400 0.929192 1
10215500 1.00188 1
10215600 1.03617 1
10215700 0.904135 1
10215800 0.927633 1
