# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
1000100 -21.7518 -22
1000200 -21.4786 -22
1000300 -21.6886 -22
1000400 -21.9682 -22
1000500 -21.8374 -22
1000600 -21.8302 -22
1000700 -21.8595 -22
1000800 -21.4891 -22
1000900 -21.3102 -22
1001000 -21.2488 -22
1001100 -21.2816 -22
1001200 -21.5008 -22
1001300 -21.8359 -22
1001400 -22.3717 -22
1001500 -22.7078 -22
1001600 -22.5263 -22
1001700 -22.1911 -22
1001800 -21.9882 -22
1001900 -21.893 -22
1002000 -21.7783 -22
1002100 -21.9853 -22
1002200 -21.74 -22
1002300 -21.6902 -22
1002400 -21.7608 -22
1002500 -21.9249 -22
1002600 -21.8859 -22
1002700 -21.7058 -22
1002800 -21.7475 -22
1002900 -21.9137 -22
1003000 -22.2463 -22
1003100 -22.4181 -22
1003200 -22.0074 -22
1003300 -21.8534 -22
1003400 -21.7224 -22
1003500 -21.5526 -22
1003600 -21.7215 -22
1003700 -21.9689 -22
1003800 -22.1065 -22
1003900 -21.9637 -22
1004000 -21.796 -22
1004100 -21.7769 -22
1004200 -21.7322 -22
1004300 -21.6205 -22
1004400 -21.5017 -22
1004500 -21.3334 -22
1004600 -21.1575 -22
1004700 -21.1332 -22
1004800 -21.2017 -22
1004900 -21.3358 -22
1005000 -21.7405 -22
1005100 -22.2234 -22
1005200 -22.3941 -22
1005300 -22.7968 -22
1005400 -22.8468 -22
1005500 -22.7825 -22
1005600 -22.9482 -22
1005700 -22.9058 -22
1005800 -22.8089 -22
1005900 -22.6779 -22
1006000 -22.4455 -22
1006100 -22.2744 -22
1006200 -22.5025 -22
1006300 -22.6863 -22
1006400 -22.3101 -22
1006500 -22.1761 -22
1006600 -22.2237 -22
1006700 -22.1014 -22
1006800 -22.2554 -22
1006900 -22.3007 -22
1007000 -22.1329 -22
1007100 -22.0117 -22
1007200 -22.0171 -22
1007300 -22.0345 -22
1007400 -22.0706 -22
1007500 -22.0379 -22
1007600 -22.0167 -22
1007700 -22.1084 -22
1007800 -22.263 -22
1007900 -22.3121 -22
1008000 -22.4721 -22
1008100 -22.3183 -22
1008200 -21.8565 -22
1008300 -21.5811 -22
1008400 -21.8639 -22
1008500 -22.017 -22
1008600 -21.9056 -22
1008700 -21.8255 -22
1008800 -21.8305 -22
1008900 -22.0321 -22
1009000 -22.4299 -22
1009100 -22.6414 -22
1009200 -22.7507 -22
1009300 -22.6119 -22
1009400 -22.3666 -22
1009500 -21.8852 -22
1009600 -21.9139 -22
1009700 -22.1469 -22
1009800 -22.2209 -22
1009900 -21.8035 -22
1010000 -21.5652 -22
1010100 -21.9229 -22
1010200 -22.0217 -22
1010300 -21.8009 -22
1010400 -21.9146 -22
1010500 -22.2796 -22
1010600 -22.4757 -22
1010700 -22.1562 -22
1010800 -22.1812 -22
1010900 -22.0187 -22
1011000 -22.2566 -22
1011100 -22.3861 -22
1011200 -22.4658 -22
1011300 -22.5097 -22
1011400 -22.5772 -22
1011500 -22.6291 -22
1011600 -22.6716 -22
1011700 -22.9586 -22
1011800 -23.0135 -22
1011900 -22.8411 -22
1012000 -22.6481 -22
1012100 -22.3719 -22
1012200 -21.9938 -22
1012300 -21.5532 -22
1012400 -21.5068 -22
1012500 -21.5068 -22
1012600 -21.5481 -22
1012700 -21.7323 -22
1012800 -22.1199 -22
1012900 -22.2107 -22
1013000 -22.2897 -22
1013100 -22.1976 -22
1013200 -22.269 -22
1013300 -22.2355 -22
1013400 -22.2806 -22
1013500 -22.2287 -22
1013600 -22.1214 -22
1013700 -21.9314 -22
1013800 -21.8725 -22
1013900 -21.7329 -22
1014000 -21.8592 -22
1014100 -21.9926 -22
1014200 -21.9142 -22
1014300 -21.7378 -22
1014400 -21.6932 -22
1014500 -21.471 -22
1014600 -21.3984 -22
1014700 -21.3622 -22
1014800 -21.6522 -22
1014900 -21.8621 -22
