# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
6200100 -8.4535 -9
6200200 -8.45614 -9
6200300 -8.71906 -9
6200400 -8.86167 -9
6200500 -8.82014 -9
6200600 -8.83656 -9
6200700 -8.99132 -9
6200800 -9.28819 -9
6200900 -9.51928 -9
6201000 -9.77528 -9
6201100 -9.60237 -9
6201200 -9.49819 -9
6201300 -9.13954 -9
6201400 -8.97501 -9
6201500 -8.83472 -9
6201600 -8.86599 -9
6201700 -8.59882 -9
6201800 -8.62937 -9
6201900 -8.87599 -9
6202000 -9.29435 -9
6202100 -9.51679 -9
6202200 -9.88888 -9
6202300 -9.82182 -9
6202400 -9.76441 -9
6202500 -9.30574 -9
6202600 -9.11699 -9
6202700 -9.08969 -9
6202800 -9.43076 -9
6202900 -9.5079 -9
6203000 -9.19499 -9
6203100 -9.0194 -9
6203200 -8.88566 -9
6203300 -8.58874 -9
6203400 -8.38516 -9
6203500 -8.64451 -9
6203600 -9.08237 -9
6203700 -9.38648 -9
6203800 -9.54212 -9
6203900 -9.66189 -9
6204000 -9.23718 -9
6204100 -8.98268 -9
6204200 -8.56789 -9
6204300 -8.57375 -9
6204400 -8.6988 -9
6204500 -8.79726 -9
6204600 -8.88978 -9
6204700 -9.05085 -9
6204800 -9.19312 -9
6204900 -9.34768 -9
6205000 -9.65378 -9
6205100 -9.73336 -9
6205200 -9.88074 -9
6205300 -9.72637 -9
6205400 -9.34835 -9
6205500 -9.00014 -9
6205600 -8.8831 -9
6205700 -8.82514 -9
6205800 -8.72838 -9
6205900 -9.00989 -9
6206000 -9.17025 -9
6206100 -9.1166 -9
6206200 -9.00406 -9
6206300 -8.94131 -9
6206400 -8.95798 -9
6206500 -8.8735 -9
6206600 -9.13556 -9
6206700 -9.24967 -9
6206800 -9.17915 -9
6206900 -8.78023 -9
6207000 -8.35572 -9
6207100 -8.37405 -9
6207200 -8.13393 -9
6207300 -8.06093 -9
6207400 -8.36629 -9
6207500 -8.71109 -9
6207600 -8.90073 -9
6207700 -8.92047 -9
6207800 -8.81427 -9
6207900 -8.83249 -9
6208000 -8.47657 -9
6208100 -8.51015 -9
6208200 -8.68988 -9
6208300 -8.54491 -9
6208400 -9.01647 -9
6208500 -9.23315 -9
6208600 -9.16685 -9
6208700 -9.03382 -9
6208800 -9.01744 -9
6208900 -9.3876 -9
6209000 -9.66754 -9
6209100 -9.38803 -9
6209200 -9.05361 -9
6209300 -8.71502 -9
6209400 -8.48958 -9
6209500 -8.53561 -9
6209600 -8.5923 -9
6209700 -8.60921 -9
6209800 -8.80478 -9
6209900 -8.95619 -9
6210000 -9.52379 -9
6210100 -9.95313 -9
6210200 -10.2593 -9
6210300 -10.2485 -9
6210400 -9.99126 -9
6210500 -9.6598 -9
6210600 -9.56124 -9
6210700 -9.49822 -9
6210800 -9.4163 -9
6210900 -9.63432 -9
6211000 -9.93475 -9
6211100 -9.63217 -9
6211200 -9.62609 -9
6211300 -9.59077 -9
6211400 -9.36788 -9
6211500 -9.6327 -9
6211600 -9.62252 -9
6211700 -9.66808 -9
6211800 -9.41087 -9
6211900 -9.34952 -9
6212000 -9.45225 -9
6212100 -9.24048 -9
6212200 -8.81424 -9
6212300 -8.3833 -9
6212400 -8.35294 -9
6212500 -8.71487 -9
6212600 -9.115 -9
6212700 -8.97775 -9
6212800 -8.97462 -9
6212900 -8.95486 -9
6213000 -9.16128 -9
6213100 -9.43987 -9
6213200 -9.69442 -9
6213300 -9.80307 -9
6213400 -9.72976 -9
6213500 -9.62572 -9
6213600 -9.33157 -9
6213700 -9.10564 -9
6213800 -9.27831 -9
6213900 -9.37379 -9
6214000 -9.76487 -9
6214100 -9.6783 -9
6214200 -9.35498 -9
6214300 -8.98355 -9
6214400 -9.02578 -9
6214500 -9.22316 -9
6214600 -9.39956 -9
6214700 -9.12955 -9
6214800 -9.10274 -9
6214900 -9.30901 -9
6215000 -9.44708 -9
6215100 -9.49213 -9
6215200 -9.56395 -9
6215300 -9.31787 -9
6215400 -8.86626 -9
6215500 -8.94207 -9
6215600 -8.89051 -9
6215700 -9.02803 -9
6215800 -9.70464 -9
6215900 -9.49132 -9
6216000 -9.28592 -9
6216100 -9.34697 -9
6216200 -9.28849 -9
6216300 -9.38543 -9
6216400 -9.27625 -9
6216500 -9.23913 -9
6216600 -9.12576 -9
6216700 -8.99434 -9
6216800 -9.0255 -9
6216900 -8.77344 -9
6217000 -8.44377 -9
6217100 -8.27182 -9
6217200 -8.26919 -9
6217300 -8.31895 -9
6217400 -8.82031 -9
6217500 -9.31363 -9
6217600 -9.58138 -9
6217700 -9.57247 -9
6217800 -9.31752 -9
6217900 -9.05209 -9
6218000 -9.32197 -9
6218100 -9.22372 -9
6218200 -9.10269 -9
6218300 -8.97593 -9
6218400 -8.78883 -9
6218500 -8.36491 -9
