# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
5000100 -12.1865 -12
5000200 -11.8903 -12
5000300 -11.5893 -12
5000400 -11.6432 -12
5000500 -11.9233 -12
5000600 -11.999 -12
5000700 -11.8608 -12
5000800 -12.0683 -12
5000900 -11.941 -12
5001000 -12.1521 -12
5001100 -12.1567 -12
5001200 -12.4886 -12
5001300 -12.3467 -12
5001400 -12.227 -12
5001500 -11.9909 -12
5001600 -11.8418 -12
5001700 -11.7865 -12
5001800 -11.926 -12
5001900 -12.0791 -12
5002000 -12.0897 -12
5002100 -12.0983 -12
5002200 -11.9412 -12
5002300 -11.6358 -12
5002400 -11.4833 -12
5002500 -11.392 -12
5002600 -11.5412 -12
5002700 -11.7319 -12
5002800 -11.7193 -12
5002900 -11.8628 -12
5003000 -12.1136 -12
5003100 -12.1391 -12
5003200 -12.0156 -12
5003300 -11.9439 -12
5003400 -11.9504 -12
5003500 -11.495 -12
5003600 -11.2644 -12
5003700 -11.42 -12
5003800 -11.2664 -12
5003900 -11.2488 -12
5004000 -11.2512 -12
5004100 -11.1665 -12
5004200 -11.5709 -12
5004300 -11.8879 -12
5004400 -11.9445 -12
5004500 -12.2476 -12
5004600 -12.4306 -12
5004700 -12.4997 -12
5004800 -12.7189 -12
5004900 -12.6895 -12
5005000 -12.3314 -12
5005100 -12.1631 -12
5005200 -12.4643 -12
5005300 -12.8495 -12
5005400 -12.7541 -12
5005500 -12.5789 -12
5005600 -12.2976 -12
5005700 -12.0302 -12
5005800 -11.8534 -12
5005900 -11.5997 -12
5006000 -11.5008 -12
5006100 -11.3074 -12
5006200 -11.2457 -12
5006300 -11.3639 -12
5006400 -11.6107 -12
5006500 -11.6346 -12
5006600 -11.4878 -12
5006700 -11.5463 -12
5006800 -11.738 -12
5006900 -11.9174 -12
5007000 -11.8015 -12
5007100 -11.6531 -12
5007200 -11.299 -12
5007300 -11.6108 -12
5007400 -11.7481 -12
5007500 -11.8665 -12
5007600 -11.8338 -12
5007700 -11.9577 -12
5007800 -12.2739 -12
5007900 -12.4335 -12
5008000 -12.5606 -12
5008100 -12.4658 -12
