# Time-averaged data for fix myat2
# TimeStep v_delta_x
40300 25.8405
40400 25.7588
40500 25.578
40600 25.5728
40700 25.5475
40800 25.2786
40900 25.1882
41000 25.2199
41100 25.1607
41200 24.9285
41300 25.1338
41400 25.4785
41500 25.5194
41600 25.3506
41700 25.0235
41800 25.2759
41900 25.5138
42000 25.7861
42100 25.5816
42200 24.9752
42300 25.1218
42400 25.357
42500 25.3881
42600 25.3341
42700 25.5012
42800 25.5984
42900 25.4123
43000 25.4386
43100 25.63
43200 25.6832
43300 25.3598
43400 25.0305
43500 25.1657
43600 25.1113
43700 25.1631
43800 25.5626
43900 25.6879
44000 25.8923
44100 25.4812
44200 25.4062
44300 25.2922
44400 25.1702
44500 25.4862
44600 25.202
44700 25.2155
44800 25.3721
44900 25.0708
45000 25.1234
45100 25.5968
45200 25.4746
45300 25.8304
45400 25.5554
45500 25.3294
45600 25.0103
45700 25.2023
45800 25.4234
45900 25.1451
46000 24.8654
46100 24.5921
46200 24.7111
46300 24.9635
46400 24.9736
46500 25.4121
46600 25.7525
46700 25.9735
46800 25.7674
46900 25.6701
47000 25.056
47100 25.0827
47200 25.2387
47300 25.1495
47400 25.3362
47500 24.8616
47600 24.8157
47700 24.7053
47800 24.8242
47900 24.8903
48000 24.9941
48100 24.8456
48200 25.0774
48300 25.3179
48400 25.3544
48500 24.9992
48600 25.2221
48700 25.1002
48800 24.4999
48900 24.4962
49000 24.6598
49100 24.263
49200 24.3674
49300 24.8473
49400 25.1859
49500 25.2537
49600 25.2937
49700 25.3602
49800 25.2512
49900 24.8252
50000 24.6503
50100 25.0144
50200 24.9831
50300 25.5357
50400 25.6499
50500 25.5111
50600 24.8377
50700 24.7807
50800 24.9383
50900 25.203
51000 25.2621
51100 25.2856
51200 25.4146
51300 25.3348
51400 25.1517
51500 25.0335
51600 25.635
51700 25.6015
51800 25.252
51900 24.9815
52000 25.0822
52100 24.8522
52200 24.7056
52300 24.6914
52400 24.3528
52500 24.3851
52600 24.147
52700 24.1908
52800 24.0257
52900 24.3049
53000 24.4125
53100 24.2545
53200 24.4928
53300 24.8783
53400 25.2063
53500 25.319
53600 25.2492
53700 25.2631
53800 25.1649
53900 25.075
54000 24.6681
54100 24.8164
54200 24.9211
54300 25.3002
54400 25.1666
54500 25.0578
54600 25.0792
54700 25.2256
54800 25.3638
54900 24.9643
55000 24.9688
55100 25.0669
55200 24.8799
55300 24.8143
55400 24.953
55500 25.1929
55600 25.3934
55700 25.1261
55800 25.2072
55900 25.2377
56000 25.275
56100 25.7315
56200 25.7303
56300 25.6878
56400 25.4538
56500 25.1734
56600 25.2374
56700 25.2325
