# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy
2690 1.52697 -0.239234
2700 1.54306 -0.239289
2710 1.56634 -0.247246
2720 1.50922 -0.241819
2730 1.55671 -0.237433
2740 1.51903 -0.237783
2750 1.51368 -0.237093
2760 1.51094 -0.234907
2770 1.52148 -0.239289
2780 1.53122 -0.244651
2790 1.48415 -0.236963
2800 1.51855 -0.245221
2810 1.53311 -0.243386
2820 1.56644 -0.228484
2830 1.54427 -0.242311
2840 1.50845 -0.234451
2850 1.46967 -0.23172
2860 1.49855 -0.239641
2870 1.46981 -0.237681
2880 1.45056 -0.232004
2890 1.46161 -0.229817
2900 1.47477 -0.238434
2910 1.54864 -0.237602
2920 1.53071 -0.239737
2930 1.53122 -0.240415
2940 1.48795 -0.242983
2950 1.48485 -0.242972
2960 1.51253 -0.227366
2970 1.54722 -0.237064
2980 1.49462 -0.236903
2990 1.51149 -0.234917
3000 1.45812 -0.239464
3010 1.49479 -0.234107
3020 1.5447 -0.239123
3030 1.54458 -0.232206
3040 1.53923 -0.227308
3050 1.51612 -0.225287
3060 1.52201 -0.228523
3070 1.55067 -0.229046
3080 1.52448 -0.230925
3090 1.55867 -0.231275
3100 1.56654 -0.230063
3110 1.49167 -0.228962
3120 1.48358 -0.232023
3130 1.46918 -0.22764
3140 1.54951 -0.226723
3150 1.52465 -0.230749
3160 1.5243 -0.234185
3170 1.53276 -0.230169
3180 1.51834 -0.231834
3190 1.50165 -0.228368
3200 1.52998 -0.240092
3210 1.53142 -0.245144
3220 1.50513 -0.246423
3230 1.51501 -0.243161
3240 1.51269 -0.239736
3250 1.51198 -0.244407
3260 1.47562 -0.235052
3270 1.50219 -0.238394
3280 1.48367 -0.239476
3290 1.4706 -0.238818
3300 1.49074 -0.241208
3310 1.5262 -0.240913
3320 1.49346 -0.241384
3330 1.4447 -0.237298
3340 1.49876 -0.2405
3350 1.48286 -0.234946
3360 1.50142 -0.234317
3370 1.5061 -0.228339
3380 1.51207 -0.240354
3390 1.48234 -0.237296
3400 1.49517 -0.234367
3410 1.46976 -0.228953
3420 1.4629 -0.236892
3430 1.47618 -0.24299
3440 1.50653 -0.24322
3450 1.50248 -0.238758
3460 1.48455 -0.231423
3470 1.52443 -0.2312
3480 1.4986 -0.231756
3490 1.47805 -0.232316
3500 1.47211 -0.240949
3510 1.52804 -0.237862
3520 1.52261 -0.239901
3530 1.56533 -0.245185
3540 1.57819 -0.245209
3550 1.533 -0.234298
3560 1.51553 -0.23468
3570 1.51265 -0.240658
3580 1.45841 -0.236869
3590 1.48441 -0.237591
3600 1.53653 -0.235456
3610 1.55769 -0.240266
3620 1.52418 -0.237698
3630 1.44446 -0.235164
3640 1.56345 -0.242873
3650 1.53082 -0.239095
3660 1.46973 -0.237853
3670 1.48709 -0.243029
3680 1.4542 -0.243197
3690 1.49911 -0.244401
3700 1.49755 -0.240418
3710 1.498 -0.244418
3720 1.48287 -0.239277
3730 1.47858 -0.240825
3740 1.48984 -0.239467
3750 1.4719 -0.242725
3760 1.48661 -0.235426
3770 1.50502 -0.235515
3780 1.54963 -0.236855
3790 1.5518 -0.240995
3800 1.50929 -0.238419
3810 1.503 -0.238516
3820 1.50661 -0.231924
3830 1.50444 -0.235353
3840 1.50046 -0.230207
3850 1.48925 -0.235019
3860 1.51347 -0.232096
3870 1.56418 -0.236484
3880 1.53046 -0.238031
3890 1.49359 -0.243759
3900 1.48419 -0.238604
3910 1.45685 -0.237011
3920 1.48584 -0.240154
3930 1.48474 -0.238373
3940 1.47744 -0.239138
3950 1.47498 -0.236043
3960 1.48246 -0.23814
3970 1.45821 -0.238574
3980 1.47355 -0.23656
3990 1.4931 -0.235885
4000 1.52796 -0.231747
4010 1.57038 -0.225952
4020 1.52297 -0.238023
4030 1.51116 -0.236458
4040 1.44043 -0.236811
4050 1.53331 -0.246094
4060 1.49674 -0.247217
4070 1.53814 -0.245074
4080 1.49559 -0.243313
4090 1.50563 -0.244745
4100 1.53171 -0.243398
4110 1.52484 -0.243373
4120 1.48601 -0.246234
4130 1.5096 -0.243814
4140 1.51454 -0.244969
4150 1.49644 -0.241239
4160 1.52119 -0.24219
4170 1.52105 -0.239559
4180 1.52346 -0.243135
4190 1.51881 -0.244061
4200 1.55688 -0.238709
4210 1.48083 -0.238659
4220 1.52349 -0.246634
4230 1.5032 -0.242968
4240 1.52617 -0.244515
4250 1.51493 -0.251926
4260 1.51648 -0.247357
4270 1.50538 -0.245462
4280 1.56609 -0.246422
4290 1.53811 -0.247326
4300 1.47089 -0.239736
4310 1.44308 -0.229921
4320 1.48915 -0.233995
4330 1.4829 -0.242111
4340 1.4698 -0.243244
4350 1.50434 -0.250413
4360 1.52148 -0.252712
4370 1.54308 -0.249667
4380 1.5348 -0.251747
4390 1.51134 -0.249089
4400 1.54158 -0.249767
4410 1.50222 -0.241871
4420 1.50287 -0.242977
4430 1.53585 -0.2488
4440 1.52088 -0.249124
4450 1.50228 -0.240848
4460 1.49081 -0.244422
4470 1.49824 -0.243984
4480 1.48597 -0.240745
4490 1.44919 -0.244303
4500 1.47732 -0.249333
4510 1.48735 -0.242705
4520 1.44315 -0.232186
4530 1.43103 -0.233682
4540 1.48855 -0.236261
4550 1.54448 -0.224736
4560 1.51349 -0.225987
4570 1.53135 -0.238515
4580 1.56049 -0.239411
4590 1.5005 -0.236177
4600 1.53272 -0.232951
4610 1.52962 -0.240103
4620 1.54497 -0.233895
4630 1.54305 -0.225122
4640 1.53106 -0.22972
4650 1.50301 -0.228644
4660 1.49717 -0.231942
4670 1.50009 -0.239316
4680 1.51486 -0.237122
4690 1.48644 -0.237065
4700 1.49597 -0.228308
4710 1.53521 -0.22939
4720 1.49114 -0.239457
4730 1.46939 -0.238928
4740 1.5208 -0.235949
4750 1.50762 -0.230315
4760 1.49204 -0.237305
4770 1.50528 -0.236592
4780 1.52652 -0.235538
4790 1.54426 -0.235357
4800 1.48714 -0.233468
4810 1.49652 -0.222149
4820 1.50533 -0.218252
4830 1.49512 -0.229852
4840 1.43104 -0.233035
4850 1.4947 -0.237636
4860 1.48055 -0.235328
4870 1.49664 -0.234053
4880 1.52619 -0.237168
4890 1.51621 -0.234364
4900 1.55293 -0.235252
4910 1.51692 -0.243473
4920 1.47094 -0.231488
4930 1.47242 -0.233648
4940 1.47686 -0.237903
4950 1.44757 -0.237244
4960 1.46008 -0.233601
4970 1.46674 -0.226793
4980 1.5339 -0.23156
4990 1.53849 -0.229607
5000 1.54696 -0.232841
5010 1.57124 -0.228182
5020 1.56275 -0.223839
5030 1.54196 -0.226336
5040 1.48776 -0.231537
5050 1.48343 -0.237809
5060 1.42358 -0.224846
5070 1.47836 -0.22907
5080 1.54067 -0.225594
5090 1.49906 -0.229992
5100 1.47877 -0.235234
5110 1.49194 -0.235508
5120 1.5157 -0.23882
5130 1.45974 -0.235115
5140 1.43334 -0.233646
5150 1.52353 -0.234039
5160 1.54472 -0.223664
5170 1.51868 -0.230205
5180 1.5027 -0.234327
5190 1.53196 -0.235097
5200 1.54192 -0.225326
5210 1.52314 -0.236635
5220 1.49607 -0.219453
5230 1.48089 -0.234908
5240 1.56423 -0.23038
5250 1.52663 -0.230898
5260 1.48438 -0.231092
5270 1.52799 -0.234595
5280 1.47873 -0.237044
5290 1.45341 -0.23727
5300 1.52912 -0.239734
5310 1.48754 -0.234618
5320 1.48157 -0.231044
5330 1.54883 -0.235173
5340 1.49882 -0.235144
5350 1.50659 -0.235951
5360 1.47617 -0.240947
5370 1.54472 -0.23468
5380 1.53506 -0.234633
5390 1.50073 -0.238351
5400 1.52594 -0.232969
5410 1.4984 -0.229551
5420 1.50817 -0.234311
5430 1.47654 -0.235559
5440 1.46713 -0.233164
5450 1.45556 -0.230256
5460 1.52767 -0.234483
5470 1.46269 -0.223778
5480 1.45821 -0.227675
