# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
201000 0.0710269 -0.0593088
202000 -0.016073 0.00555979
203000 -0.0387937 0.0328698
204000 0.0168148 -0.0321903
205000 -0.0021014 0.0282987
206000 0.018002 0.00715672
207000 0.0147427 -0.0251857
208000 -0.0236038 -0.0210567
209000 0.0495036 -0.00686327
210000 -0.0337675 -0.00688907
211000 0.0312533 0.0694388
212000 0.0225517 0.0267303
213000 -0.0448198 -0.112545
214000 0.034192 0.0695045
215000 -0.0247528 -0.023077
216000 -0.00189213 0.00288267
217000 0.0195916 -0.00675137
218000 -0.0241757 0.0110252
219000 -0.02004 -0.0244063
220000 -0.0605487 0.0139512
221000 0.0546529 -0.0458214
222000 0.0029647 0.0700944
223000 0.00804742 -0.0584687
224000 0.0903633 0.035052
225000 -0.0363081 0.0126541
226000 -0.0378631 -0.00576927
227000 0.038424 -0.0327386
228000 0.00439577 -0.0872581
229000 -0.0497248 0.0140786
230000 0.0544935 0.0593885
231000 -0.0894077 -0.00637676
232000 0.0121513 -0.0296984
233000 0.111753 0.0475248
234000 -0.0602214 -0.0133868
235000 0.0112905 -0.00881855
236000 0.0187084 0.0643585
237000 0.0156318 -0.102775
238000 -0.0710264 0.108464
239000 0.0610866 -0.0382639
240000 0.060637 -0.0368228
241000 -0.0949439 0.0244513
242000 0.0486892 -0.040999
243000 -0.135921 0.186202
244000 0.0822045 0.0362056
245000 0.0473778 -0.0873406
246000 -0.0388483 -0.0010713
247000 -0.00618266 0.0332002
248000 0.0152498 -0.0230973
249000 -0.0615586 -0.0436544
250000 0.017033 -0.00647983
251000 0.0164713 0.0131101
252000 0.0751078 -0.0270081
253000 -0.0486804 -0.00108037
254000 -0.0211195 0.04113
255000 0.0523872 0.0162655
256000 -0.0273209 -0.0299032
257000 -0.0451745 0.015478
258000 0.00530012 -0.0179316
259000 -0.00373458 -0.00225072
260000 0.101571 0.27602
261000 -0.0844019 -0.0142177
262000 0.054561 -0.157249
263000 -0.0195576 0.0630702
264000 -0.00195856 -0.0894783
265000 -0.042902 -0.365363
266000 0.0123975 0.0929255
267000 -0.0212171 -0.0216909
268000 0.00547681 0.00459741
269000 0.00530489 -0.0588856
270000 -0.00100785 0.0503675
271000 0.0481362 -0.0605061
272000 0.0303315 -0.10134
273000 0.00991821 -0.0136486
274000 -0.0928467 0.0181296
275000 0.0366658 0.10285
276000 0.0293238 0.014314
277000 0.000275031 -0.0131092
278000 -0.0666408 0.00392153
279000 0.0738868 -0.0762816
280000 -0.0493445 -0.0829079
281000 -0.00217526 -0.0632622
282000 0.033807 -0.085253
283000 0.0539367 0.0622454
284000 -0.0911481 -0.168103
285000 -0.00143483 -0.0384889
